,lat,lon,pred,std
208,49.75,2.25,7.28726,2.6060028
209,49.75,2.75,7.103389,2.6060958
210,49.75,3.25,6.9014707,2.606341
211,49.75,3.75,6.6839676,2.6067357
212,49.75,4.25,6.4580593,2.6072938
213,49.75,4.75,6.2351933,2.608049
214,49.75,5.25,6.0286026,2.6090868
215,49.75,5.75,5.8509293,2.61062
216,49.75,6.2500005,5.708554,2.613151
217,49.75,6.75,5.599802,2.6176498
218,49.75,7.25,5.518207,2.6256468
219,49.75,7.75,5.455515,2.6390977
220,50.25,-5.75,8.814227,2.6346264
221,50.25,-5.25,8.76342,2.6258905
222,50.25,-4.75,8.69343,2.6192498
223,50.25,-4.25,8.609543,2.6147144
224,50.25,-3.75,8.519703,2.6119194
225,50.25,1.25,7.6575384,2.6068451
226,50.25,1.75,7.5350604,2.606604
227,50.25,2.25,7.389107,2.606507
228,50.25,2.75,7.2213087,2.6065192
229,50.25,3.25,7.0333185,2.6066165
230,50.25,3.75,6.8283987,2.6068106
231,50.25,4.25,6.6141005,2.6071415
232,50.25,4.75,6.4015307,2.6076741
233,50.25,5.25,6.2026587,2.608519
234,50.25,5.75,6.0284324,2.6099002
235,50.25,6.2500005,5.885459,2.612303
236,50.25,6.75,5.7735815,2.6166778
237,50.25,7.25,5.68624,2.6245508
238,50.25,7.75,5.6156173,2.6378884
239,50.75,-4.75,8.407839,2.6154141
240,50.75,-4.25,8.31161,2.611831
241,50.75,-3.75,8.207975,2.6097553
242,50.75,-3.25,8.109635,2.6087375
243,50.75,-2.75,8.023273,2.6082914
244,50.75,-2.25,7.950806,2.608084
245,50.75,-1.7500001,7.891468,2.60795
246,50.75,-1.25,7.842934,2.6078343
247,50.75,-0.75,7.8023148,2.607729
248,50.75,-0.25,7.770523,2.6076052
249,50.75,0.25,7.744411,2.607484
250,50.75,0.74999994,7.71274,2.6074486
251,50.75,1.75,7.5793953,2.6076784
252,50.75,2.25,7.4684634,2.607778
253,50.75,2.75,7.3299384,2.6077855
254,50.75,3.25,7.167502,2.6076796
255,50.75,3.75,6.9856772,2.6075234
256,50.75,4.25,6.7915044,2.607449
257,50.75,4.75,6.595712,2.6075957
258,50.75,5.25,6.409003,2.6081185
259,50.75,5.75,6.2403097,2.6092575
